,Place,Region,Country,SchoolName,Ownership,Latitude,Longitude,WindSpeed,WindDegree,WindDirection,Gust,Pressure,Precipitation,Temperature,Visibility,Humidity,Cloud,UV
12626,Sumbawanga,Rukwa,Tanzania,MLOMBO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12627,Kalumbaleza,Rukwa,Tanzania,MNAZIMMOJA,Government,-7.6,31.53,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12628,Sumbawanga,Rukwa,Tanzania,MOVU,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12629,Sumbawanga,Rukwa,Tanzania,MPANDANKWILO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12630,Sumbawanga,Rukwa,Tanzania,MPEMBANO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12631,Sumbawanga,Rukwa,Tanzania,MPONA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12632,Mpui,Rukwa,Tanzania,MPUI A,Government,-8.35,31.83,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12633,Mpui,Rukwa,Tanzania,MPUI B,Government,-8.35,31.83,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12634,Sumbawanga,Rukwa,Tanzania,MPWAPWA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12635,Sumbawanga,Rukwa,Tanzania,MSANDAMUUNGANO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12636,Sumbawanga,Rukwa,Tanzania,MSHANI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12637,Milepa,Rukwa,Tanzania,MSIA,Government,-8.07,31.93,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12638,Sumbawanga,Rukwa,Tanzania,MSILA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12639,Sumbawanga,Rukwa,Tanzania,MTAPENDA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12640,Sumbawanga,Rukwa,Tanzania,MTETA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12641,Mpui,Rukwa,Tanzania,MTETEZI,Government,-8.35,31.83,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12642,Laela,Rukwa,Tanzania,MTINDILO,Government,-8.57,32.05,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12643,Sumbawanga,Rukwa,Tanzania,MTOWISA 'A',Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12644,Sumbawanga,Rukwa,Tanzania,MTOWISA B,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12645,Muze,Rukwa,Tanzania,MUKAMANYE,Government,-7.68,31.55,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12646,Sumbawanga,Rukwa,Tanzania,MUMBA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12647,Muze,Rukwa,Tanzania,MUZE,Government,-7.68,31.55,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12648,Sumbawanga,Rukwa,Tanzania,MWELA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12649,Sumbawanga,Rukwa,Tanzania,NAMPAKO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12650,Laela,Rukwa,Tanzania,NDELEMA,Government,-8.57,32.05,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12651,Sumbawanga,Rukwa,Tanzania,NG'ONGO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12652,Sumbawanga,Rukwa,Tanzania,NKWILO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12653,Mpui,Rukwa,Tanzania,NTUMBI,Government,-8.35,31.83,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12654,Muze,Rukwa,Tanzania,RUKWA,Government,-7.68,31.55,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12655,Sumbawanga,Rukwa,Tanzania,SAKALILO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12656,Sumbawanga,Rukwa,Tanzania,SANDULULA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12657,Sumbawanga,Rukwa,Tanzania,SIKAUNGU,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12658,Sumbawanga,Rukwa,Tanzania,SOLOLA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12659,Sumbawanga,Rukwa,Tanzania,SONGAMBELEAZIMIO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12660,Sumbawanga,Rukwa,Tanzania,SONTAUKIA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12661,Sumbawanga,Rukwa,Tanzania,TENTULA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12662,Sumbawanga,Rukwa,Tanzania,TULULU,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12663,Sumbawanga,Rukwa,Tanzania,TUNKO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12664,Sumbawanga,Rukwa,Tanzania,TUWI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12665,Muze,Rukwa,Tanzania,UZIA,Government,-7.68,31.55,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12666,Sumbawanga,Rukwa,Tanzania,ZIMBA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12667,Sumbawanga,Rukwa,Tanzania,AGGREY CHANJI,Non-Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12668,Sumbawanga,Rukwa,Tanzania,CHANJI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12669,Sumbawanga,Rukwa,Tanzania,CHELENGANYA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12670,Sumbawanga,Rukwa,Tanzania,CHEMCHEM,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12671,Sumbawanga,Rukwa,Tanzania,CHIPU,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12672,Sumbawanga,Rukwa,Tanzania,DR. ATMAN MEMORIAL,Non-Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12673,Sumbawanga,Rukwa,Tanzania,FYENGELEZYA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12674,Sumbawanga,Rukwa,Tanzania,HILL CREST,Non-Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12675,Sumbawanga,Rukwa,Tanzania,HOMAGE,Non-Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12676,Sumbawanga,Rukwa,Tanzania,ISALE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12677,Sumbawanga,Rukwa,Tanzania,ISESA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12678,Sumbawanga,Rukwa,Tanzania,IZIA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12679,Sumbawanga,Rukwa,Tanzania,JANGWANI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12680,Sumbawanga,Rukwa,Tanzania,KALAMBO,Non-Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12681,Sumbawanga,Rukwa,Tanzania,KANKWALE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12682,Sumbawanga,Rukwa,Tanzania,KANONDO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12683,Sumbawanga,Rukwa,Tanzania,KANTALAMBA MAZOEZI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12684,Sumbawanga,Rukwa,Tanzania,KASENSE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12685,Sumbawanga,Rukwa,Tanzania,KASHAI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12686,Sumbawanga,Rukwa,Tanzania,KASISIWE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12687,Sumbawanga,Rukwa,Tanzania,KATANDALA 'A',Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12688,Sumbawanga,Rukwa,Tanzania,KATANDALA 'B',Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12689,Sumbawanga,Rukwa,Tanzania,KATUMBA AZIMIO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12690,Sumbawanga,Rukwa,Tanzania,KATUSA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12691,Sumbawanga,Rukwa,Tanzania,KAWAMA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12692,Sumbawanga,Rukwa,Tanzania,KILIMAHEWA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12693,Sumbawanga,Rukwa,Tanzania,KINAMWANGA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12694,Sumbawanga,Rukwa,Tanzania,KING'OMBE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12695,Sumbawanga,Rukwa,Tanzania,KISUMBA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12696,Sumbawanga,Rukwa,Tanzania,KIWELU,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
